"cond" "Scond" "sub" "item" "lag" "resp"
0 0 61 5 0 2
0 0 37 5 0 1
0 0 62 5 0 5
0 0 83 5 0 2
0 0 25 5 0 1
0 1 57 5 -177.271804139237 5
0 0 33 5 0 0
0 0 32 5 0 3
0 1 70 5 114.728195860763 5
0 1 26 5 -94.2718041392367 5
0 0 56 5 0 1
0 1 93 5 -201.271804139237 3
0 0 44 5 0 1
0 0 6 5 0 5
0 0 0 5 0 1
0 0 48 5 0 0
0 1 19 5 -256.271804139237 5
0 0 35 5 0 2
0 0 60 5 0 5
0 1 88 5 151.728195860763 0
0 0 30 5 0 3
0 0 79 5 0 0
0 1 52 5 188.728195860763 4
0 0 9 5 0 4
0 1 10 5 223.728195860763 2
0 0 91 5 0 1
0 1 14 5 -0.271804139236679 5
0 0 21 5 0 0
0 1 88 6 -39.2718041392367 5
0 1 11 6 -184.271804139237 5
0 0 66 6 0 1
0 1 29 6 130.728195860763 3
0 1 32 6 242.728195860763 2
0 1 40 6 -225.271804139237 4
0 0 45 6 0 0
0 0 77 6 0 1
0 1 7 6 192.728195860763 4
0 1 73 6 -53.2718041392367 0
0 0 12 6 0 3
0 0 78 6 0 1
0 0 84 6 0 3
0 1 37 6 65.7281958607633 5
0 0 92 6 0 1
0 1 61 6 211.728195860763 3
0 1 1 6 103.728195860763 0
0 1 71 6 181.728195860763 2
0 1 17 6 -209.271804139237 4
0 0 43 6 0 1
0 1 13 6 -109.271804139237 4
0 1 48 6 141.728195860763 0
0 0 8 6 0 4
0 0 36 6 0 5
0 0 28 6 0 4
0 1 58 6 90.7281958607633 3
0 1 15 6 -75.2718041392367 5
0 1 0 6 -183.271804139237 2
0 0 34 6 0 5
0 1 83 6 163.728195860763 4
0 0 6 6 0 1
0 1 55 6 -64.2718041392367 4
0 0 69 6 0 4
0 0 3 6 0 1
0 1 5 6 -197.271804139237 3
0 1 16 6 249.728195860763 1
0 0 4 6 0 3
0 0 80 6 0 3
0 0 75 6 0 5
0 1 42 6 128.728195860763 5
0 1 87 6 -62.2718041392367 1
0 1 59 6 -47.2718041392367 4
0 1 22 6 -116.271804139237 0
0 0 35 6 0 4
0 1 9 6 -122.271804139237 2
0 1 44 6 52.7281958607633 3
0 1 38 6 -98.2718041392367 2
0 1 49 6 -154.271804139237 1
0 1 24 6 111.728195860763 3
0 0 10 6 0 5
0 1 70 6 -60.2718041392367 3
0 1 21 6 -187.271804139237 4
0 0 76 6 0 2
0 0 26 6 0 2
0 0 72 6 0 2
0 0 54 6 0 4
0 1 31 6 3.72819586076332 4
0 1 20 6 202.728195860763 5
0 1 57 6 -44.2718041392367 1
0 1 53 6 -50.2718041392367 5
0 0 19 6 0 0
0 1 67 6 13.7281958607633 5
0 1 74 6 -6.27180413923668 5
0 0 90 6 0 2
0 0 33 6 0 0
0 1 94 6 175.728195860763 2
0 0 62 6 0 2
0 1 18 6 -43.2718041392367 3
0 1 25 6 176.728195860763 1
0 0 81 6 0 2
0 1 63 6 -85.2718041392367 5
0 1 89 6 279.728195860763 3
0 0 23 6 0 5
0 1 27 6 349.728195860763 3
0 1 91 6 30.7281958607633 1
0 0 82 6 0 1
0 0 39 6 0 0
0 0 65 6 0 2
0 0 79 6 0 5
0 1 56 6 101.728195860763 0
0 1 85 6 258.728195860763 4
0 1 60 6 41.7281958607633 3
0 1 68 6 -190.271804139237 0
0 1 50 6 -122.271804139237 4
0 0 93 6 0 2
0 0 30 6 0 3
0 0 14 6 0 0
0 1 2 6 103.728195860763 4
0 0 52 6 0 3
0 0 41 6 0 3
0 1 64 6 35.7281958607633 4
0 0 86 6 0 1
0 0 47 6 0 2
0 1 46 6 27.7281958607633 4
0 1 51 6 -171.271804139237 3
0 0 26 7 0 4
0 0 71 7 0 2
0 0 65 7 0 4
0 0 92 7 0 3
0 1 50 7 -299.271804139237 5
0 0 24 7 0 1
0 1 59 7 -123.271804139237 1
0 1 38 7 131.728195860763 2
0 1 74 7 -13.2718041392367 5
0 0 82 7 0 1
0 0 30 7 0 5
0 0 63 7 0 3
0 1 14 7 -97.2718041392367 5
0 0 8 7 0 4
0 0 91 7 0 3
0 1 6 7 92.7281958607633 4
0 0 19 7 0 0
0 1 78 7 74.7281958607633 5
0 0 48 7 0 0
0 0 29 7 0 3
0 1 49 7 -20.2718041392367 4
0 0 46 7 0 1
0 0 83 7 0 4
0 0 66 7 0 1
0 1 47 7 165.728195860763 2
0 1 62 7 -43.2718041392367 3
0 0 73 7 0 5
0 1 60 7 -154.271804139237 0
0 1 58 7 101.728195860763 3
0 1 3 7 130.728195860763 5
0 0 79 7 0 2
0 1 17 7 94.7281958607633 4
0 1 87 7 -326.271804139237 5
0 0 37 7 0 1
0 1 21 7 -93.2718041392367 5
0 0 53 7 0 4
0 1 23 7 -44.2718041392367 3
0 1 54 7 -178.271804139237 5
0 1 56 7 179.728195860763 4
0 1 77 7 -224.271804139237 4
0 0 9 7 0 4
0 1 86 7 10.7281958607633 5
0 0 12 7 0 3
0 1 90 7 -223.271804139237 4
0 0 2 7 0 3
0 1 75 7 -75.2718041392367 5
0 1 4 7 130.728195860763 4
0 1 5 7 30.7281958607633 1
0 1 57 7 -145.271804139237 4
0 1 64 7 -116.271804139237 5
0 1 43 7 160.728195860763 4
0 1 13 7 313.728195860763 5
0 0 15 7 0 2
0 0 72 7 0 0
0 0 39 7 0 0
0 0 84 7 0 4
0 1 28 7 18.7281958607633 3
0 1 10 7 177.728195860763 4
0 1 85 7 -149.271804139237 5
0 1 36 7 -4.27180413923668 5
0 0 42 7 0 1
0 0 31 7 0 5
0 0 68 7 0 4
0 0 20 7 0 0
0 1 33 7 -29.2718041392367 4
0 1 93 7 338.728195860763 5
0 0 45 7 0 5
0 0 81 7 0 3
0 1 61 7 177.728195860763 3
0 0 27 7 0 5
0 0 80 7 0 3
0 1 40 7 -91.2718041392367 5
0 0 22 7 0 5
0 1 55 7 204.728195860763 5
0 0 69 7 0 1
0 1 7 7 81.7281958607633 4
0 0 11 7 0 5
0 1 35 7 -129.271804139237 5
0 0 52 7 0 1
0 0 94 7 0 2
0 0 25 7 0 4
0 1 44 7 -211.271804139237 4
0 1 41 7 221.728195860763 5
0 0 32 7 0 5
0 0 18 7 0 3
0 0 88 7 0 1
0 0 76 7 0 0
0 0 16 7 0 1
0 1 89 7 25.7281958607633 0
0 1 70 7 -24.2718041392367 3
0 1 0 7 49.7281958607633 2
0 1 51 7 159.728195860763 4
0 0 34 7 0 1
0 1 67 7 -1.27180413923668 5
0 0 1 7 0 5
0 1 74 8 -158.271804139237 4
0 0 60 8 0 4
0 0 69 8 0 3
0 1 13 8 -93.2718041392367 1
0 1 79 8 157.728195860763 3
0 0 34 8 0 5
0 1 8 8 -19.2718041392367 5
0 0 28 8 0 1
0 0 54 8 0 1
0 0 71 8 0 4
0 1 61 8 -266.271804139237 3
0 0 94 8 0 1
0 1 29 8 -271.271804139237 4
0 0 65 8 0 4
0 0 20 8 0 0
0 0 17 8 0 1
0 1 0 8 134.728195860763 2
0 0 52 8 0 3
0 1 9 8 -249.271804139237 1
0 0 18 8 0 1
0 0 26 8 0 2
0 0 15 8 0 1
0 1 59 8 39.7281958607633 1
0 0 33 8 0 1
0 0 84 8 0 2
0 0 10 8 0 5
0 1 87 8 86.7281958607633 2
0 1 75 8 -13.2718041392367 4
0 1 66 8 186.728195860763 1
0 1 25 8 118.728195860763 2
0 0 14 8 0 4
0 0 50 8 0 4
0 1 78 8 -106.271804139237 3
0 1 53 8 141.728195860763 2
0 1 48 8 134.728195860763 0
0 0 57 8 0 1
0 1 3 8 6.72819586076332 4
0 1 32 8 -19.2718041392367 5
0 1 89 8 186.728195860763 5
0 1 47 8 -266.271804139237 2
0 1 73 8 -27.2718041392367 3
0 1 38 8 -162.271804139237 2
0 0 43 8 0 4
0 1 58 8 -312.271804139237 4
0 0 45 8 0 2
0 1 12 8 -191.271804139237 3
0 1 21 8 -147.271804139237 5
0 0 36 8 0 1
0 1 77 8 52.7281958607633 4
0 1 93 8 -30.2718041392367 2
0 0 81 8 0 2
0 1 39 8 156.728195860763 1
0 0 49 8 0 4
0 1 40 8 -163.271804139237 5
0 1 68 8 187.728195860763 3
0 1 83 8 -1.27180413923668 4
0 1 44 8 -118.271804139237 5
0 0 67 8 0 1
0 0 88 8 0 4
0 1 62 8 -226.271804139237 4
0 1 85 8 158.728195860763 5
0 1 4 8 6.72819586076332 1
0 0 5 8 0 3
0 0 35 8 0 4
0 1 46 8 121.728195860763 4
0 1 92 8 -218.271804139237 1
0 1 80 8 174.728195860763 5
0 0 24 8 0 1
0 1 27 8 -152.271804139237 2
0 1 51 8 139.728195860763 2
0 1 37 8 -95.2718041392367 4
0 0 55 8 0 4
0 1 2 8 262.728195860763 5
0 0 42 8 0 1
